"","Correlation_DF_Complete","WeightedMean_F1_DF","WeightedMean_F1_Correlation","WeightedMean_F1_P.value","WeightedMean_F2_DF","WeightedMean_F2_Correlation","WeightedMean_F2_P.value","WeightedMean_F3_DF","WeightedMean_F3_Correlation","WeightedMean_F3_P.value","WeightedMean_F4_DF","WeightedMean_F4_Correlation","WeightedMean_F4_P.value","WeightedMean_F5_DF","WeightedMean_F5_Correlation","WeightedMean_F5_P.value"
"EVI_culmap",0,52,-0.708489287678319,2.05493565548172e-09,52,-0.491965412847972,0.000157939826289918,52,0.14024830577361,0.311774526803052,52,0.219224139724558,0.111225482237877,52,0.449343815715104,0.00065328809291719
"SVI_culmap",0,52,-0.679167364089092,1.64668357345648e-08,52,0.101506930728676,0.465172299684932,52,0.0344786703861394,0.804513135003311,52,-0.202002889723355,0.14296812524629,52,0.352086642315172,0.00902922784231027
