"","Correlation_DF_Complete","WeightedMean_F1_DF","WeightedMean_F1_Correlation","WeightedMean_F1_P.value","WeightedMean_F2_DF","WeightedMean_F2_Correlation","WeightedMean_F2_P.value","WeightedMean_F3_DF","WeightedMean_F3_Correlation","WeightedMean_F3_P.value","WeightedMean_F4_DF","WeightedMean_F4_Correlation","WeightedMean_F4_P.value","WeightedMean_F5_DF","WeightedMean_F5_Correlation","WeightedMean_F5_P.value"
"pdi",0,32,0.484770491703304,0.00366582133011145,32,0.406989137831698,0.0169028404319687,32,-0.445131623978659,0.00834051879829394,32,-0.173146868701151,0.327446621543982,32,-0.680909820546796,9.34242418162455e-06
"idv",0,32,-0.458227513346425,0.00642380420653129,32,-0.240210004150485,0.171188343078373,32,0.231112518435943,0.188480706234322,32,0.0245210898071568,0.890514121433721,32,0.559108236187728,0.000587602927644888
"mas",0,32,0.264514275552874,0.130597054879382,32,0.000857578045800192,0.996159438410908,32,-0.0463078181864518,0.794818864820352,32,-0.131871533636633,0.457220809647602,32,-0.446154215676198,0.00817509856510919
"uai",0,32,0.0604546165630643,0.734132527585435,32,0.300339985478554,0.0843722513506807,32,0.442147142202282,0.00883969447163331,32,0.744344394380327,4.49815922632104e-07,32,-0.222791290369324,0.205340083585127
"ltowvs",0,45,-0.526395265037304,0.000144362106874173,45,0.237996251585913,0.107195679465687,45,-0.00888206421150508,0.952749959625937,45,-0.133779803480243,0.369990813814193,45,0.215097472151863,0.146506242583431
"ivr",0,45,-0.115693433475708,0.438692978401666,45,-0.60445300328458,6.81617989912931e-06,45,0.0764629963834177,0.609465029957333,45,0.0664873225478031,0.657019428789891,45,0.0894351026778706,0.549956131373262
