"","Correlation_DF_Complete","WeightedMean_F1_DF","WeightedMean_F1_Correlation","WeightedMean_F1_P.value","WeightedMean_F2_DF","WeightedMean_F2_Correlation","WeightedMean_F2_P.value","WeightedMean_F3_DF","WeightedMean_F3_Correlation","WeightedMean_F3_P.value","WeightedMean_F4_DF","WeightedMean_F4_Correlation","WeightedMean_F4_P.value","WeightedMean_F5_DF","WeightedMean_F5_Correlation","WeightedMean_F5_P.value"
"harmony",0,36,-0.397006829862257,0.0135895432243306,36,0.0844381238512208,0.614243449508461,36,0.245300107004959,0.137701584076527,36,0.247221452049765,0.134548072568192,36,0.2070225533883,0.212358908578836
"embedded",0,36,0.836165391018851,6.35919950052651e-11,36,0.193040670081914,0.245563407567889,36,-0.197976119261354,0.233466700105238,36,-0.103159199400921,0.537682677927802,36,-0.672262777932511,3.7952110140109e-06
"hierarchy",0,36,0.236324957976831,0.153157931760021,36,0.0685084745799834,0.682768714501981,36,-0.269038755058792,0.102397742974996,36,-0.497092947924351,0.00149876917497703,36,-0.291652941582434,0.0756235916748639
"mastery",0,36,0.0652335720158046,0.697195832959237,36,0.00632264622382832,0.969947799713007,36,0.0180741056890842,0.914231235174528,36,-0.343452242028668,0.0347593095208811,36,0.0128449612499534,0.938989772072812
"aff.auton",0,36,-0.631465472679329,2.12607463194829e-05,36,-0.132814546978731,0.426668671745769,36,0.233926051907418,0.157495175790732,36,0.0827929010264662,0.621185682952393,36,0.664644398082555,5.34094387770962e-06
"intel.auton",0,36,-0.697794112402155,1.11966533238061e-06,36,-0.0182426989643553,0.913434193162195,36,0.340515741507601,0.0364445031514254,36,0.249376179985394,0.131075462317171,36,0.461984884656525,0.00350135961663664
"egalitar",0,36,-0.158041852956545,0.343300090311729,36,-0.220068851248534,0.184302975559765,36,0.256142411679979,0.120603287452985,36,0.340561307893569,0.0364178536707296,36,0.251323423827437,0.127994884622906
