Electricity,Billion Kwh,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Cambodia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
Cameroon,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,Billion Kwh,0,0,0,0,0,0,0.059,0.059,0.059,0.059,0.062,0.062,0.062,0.164,0.264,0.337,0.408,0.826,0.954,1.471,2.5,3.024,3.706,6.641,8.637,10.086,11.198,17.784,22.315,26.184,30.462
Cape Verde,Billion Kwh,0,0,0,0,0,0,0,0.002,0.005,0.006,0.007,0.007,0.008,0.008,0.008,0.006,0.006,0.005,0.006,0.006,0.007,0.007,0.006,0.007,0.002,0.016,0.061,0.071,0.074,0.071,0.069
Cayman Islands,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009
Chile,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.007,0.007,0.007,0.007,0.007,0.009,0.038,0.079,0.332,0.338,0.409,0.553,1.441,2.112,2.446
China,Billion Kwh,0,0,0,0,0.002,0.009,0.014,0.022,0.04,0.064,0.098,0.206,0.37,0.494,0.615,0.749,0.873,1.039,1.332,2.028,3.868,5.71,14.8,26.9,44.622,70.331,95.978,141.2,156.08,185.77,237.07
Colombia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052,0.049,0.063,0.049,0.054,0.058,0.039,0.04,0.055,0.06,0.06,0.07,0.05
Comoros,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Kinshasa),Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00E-05,3.00E-05,3.00E-05,3.00E-05,3.00E-05,3.00E-05,3.00E-05,3.00E-05,0,0,0,0,0
Costa Rica,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0.023,0.076,0.089,0.101,0.183,0.185,0.259,0.306,0.257,0.204,0.274,0.241,0.198,0.326,0.359,0.41,0.528,0.485,0.735,1.08,1.15
Cote dIvoire (IvoryCoast),Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,Billion Kwh,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.01,0.019,0.035,0.04,0.054,0.139,0.2,0.329,0.52,0.73,0.8,1.01
Cuba,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.005,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02
Cyprus,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.114,0.185,0.23,0.18,0.22,0.225
Czech Republic,Billion Kwh,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0.002,0.004,0.01,0.021,0.049,0.125,0.245,0.288,0.335,0.395,0.414,0.476,0.469,0.563,0.488
Denmark,Billion Kwh,0.136,0.183,0.302,0.429,0.61,0.74,0.915,1.034,1.137,1.177,1.227,1.934,2.82,3.029,4.241,4.306,4.877,5.561,6.583,6.614,6.108,7.171,6.928,6.721,7.809,9.774,10.27,11.123,13.079,14.133,12.782
Djibouti,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Hydroelectric Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0005,0.0005,0.001,0.001,0.001,0.001,0.001
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Hydroelectric Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0005,0.035,0.24,0.61,0.61,0.725,0.807
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Hydroelectric Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.003,0.003,0.003,0.003,0.002,0.06,0.08,0.1,0.084
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Hydroelectric Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,0,0,0,0,0,0,0,0.001,0.01,0.01,0.01,0.01,0.01,0.024,0.137,0.221,0.204,0.368,0.523,0.552,0.616,0.831,0.931,1.133,1.5,1.52,1.26,1.33,1.44,2.06,2.06
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Hydroelectric Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Hydroelectric Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Hydroelectric Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.002,0.002,0.002,0.002,0.002
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Hydroelectric Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,--,--,--,--,--,--,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.006,0.008,0.054,0.076,0.091,0.133,0.195,0.277,0.368,0.434,0.529,0.604,0.715,0.594
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Hydroelectric Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.192,0.356,0.5,0.76,0.82
Falkland Islands (Islas Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
