Electricty Consumption,Units,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,EC_2010,EC_2011,EC_2012,EC_2013,EC_2014,2015,2016
Bahrain,Billion Kwh,1.44522,1.58007,1.74933,1.93719,2.178,2.553,2.807,2.829,3.065,3.08,3.039,3.128,3.466,3.788,4.113,4.273,4.499,4.653,4.967,5.206,12.466,13.161,13.795,14.452,14.78,17.794,19.346,20.024,19.797,19.93,20.95556,21.43722,21.7183,23.02884,24.55682,26.10196,26.1054
Bangladesh,Billion Kwh,1.834,2.231,2.565,2.676,2.989,3.135,3.58,3.765,4.121,5.019,5.022,5.49,6.65,7.513,8.237,8.616,8.989,9.38802,10.16605,11.3391,12.456,13.98606,15.22806,16.31784,21.23052,23.4765,27.469,27.608,28.037,30.831,34.12934,37.08294,39.8979,42.95784,46.12852,48.98878,53.64754
Barbados,Billion Kwh,0.261,0.265,0.277,0.264,0.305,0.312,0.322,0.364,0.385,0.376,0.396,0.46,0.477,0.474,0.498,0.529,0.564,0.599,0.615,0.662,0.703,0.735,0.771,0.81,0.836,0.891,0.9134,0.9379,0.968,0.978,0.988,0.937,0.941,0.916,0.917,0.962,0.99
Belarus,Billion Kwh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.66,33.326,29.627,26.951,27.091,28.506,26.322,28.436,28.36256,24.70802,26.35038,26.59406,29.01344,29.5093,30.42908,30.5467,31.03038,29.46572,31.73564,32.44988,33.15724,32.66246,32.79818,31.7617,31.7213
Belgium,Billion Kwh,45.18,45.201,44.89,46.045,48.247,50.037,51.298,53.794,56.049,57.832,59.032,61.818,63.968,64.663,67.735,69.71,71.19,73.00595,74.89311,75.298,78.53076,79.28752,80.098,81.41356,83.23096,82.76408,85.2971,85.12744,85.09678,78.94878,84.91314,82.6685,83.13036,83.27955,81.41978,82.15484,82.16411
Belize,Billion Kwh,0.08463,0.08556,0.08649,0.08835,0.09579,0.09951,0.1023,0.10695,0.11625,0.11997,0.13206,0.14694,0.15996,0.17484,0.16275,0.16926,0.17298,0.186,0.178746,0.187116,0.1899339,0.296971,0.319964,0.348273,0.370295,0.390358,0.400099,0.421711,0.406679,0.36823,0.37493,0.37303,0.411,0.439,0.435,0.446,0.453
Benin,Billion Kwh,0.101,0.115,0.155,0.155,0.137,0.142,0.14,0.135,0.131,0.15,0.165,0.176,0.229,0.221,0.252,0.242,0.2787,0.2797,0.2707,0.3147,0.39008,0.39516,0.39834,0.48832,0.5402,0.58264,0.61,0.66198,0.73844,0.77938,0.90816,0.90494,0.93412,0.96748,0.93466,1.07062,1.143
Bermuda,Billion Kwh,0.28923,0.2976,0.30783,0.32085,0.33294,0.3441,0.35991,0.38037,0.40083,0.40734,0.42873,0.44826,0.45198,0.45291,0.46035,0.4557,0.45942,0.46314,0.4743,0.5115,0.55335,0.598624091,0.59799,0.58032,0.58326252,0.60676548,0.61975293,0.6282615,0.63705,0.6451596,0.63836223,0.62682,0.61194,0.59241,0.5766,0.58962,0.6045
Bhutan,Billion Kwh,0.01988,0.0246,0.02746,0.02446,0.0276,0.03123,0.03772,0.0431,0.03876,0.04469,0.04764,0.05673,0.05065,0.07565,0.09087,0.12488,0.24529,0.38853,0.31412,0.29419,0.28949,0.402623,0.516,0.555,0.597,0.595,0.721,0.924,1.134,1.43,1.9895,1.6897,1.8367,2.0627,2.1397,2.1207,2.1837
Bolivia,Billion Kwh,1.426,1.5,1.527,1.504,1.365,1.331,1.283,1.318,1.628,1.717,1.813,2.006,1.983,2.014,2.366,2.542,2.721,2.923,3.093,3.314,3.39614,3.37718,3.48538,3.60254,3.76486,4.194,4.539281,4.922107,4.913,5.185,5.70344,6.11594,6.45624,6.9909,7.36646,7.8963,7.78506
